item,price
Chop Suey or Chow Mein,header
,description
Chicken,(Pint) 7.55 &nbsp;&nbsp;&nbsp; (Quart) 12.95
Beef,(Pint) 8.55 &nbsp;&nbsp;&nbsp; (Quart) 13.95
Pork,(Pint) 7.55 &nbsp;&nbsp;&nbsp; (Quart) 12.95
Vegetable,(Pint) 7.55 &nbsp;&nbsp;&nbsp; (Quart) 12.95
Shrimp,(Pint) 8.55 &nbsp;&nbsp;&nbsp; (Quart) 14.95
Chicken Subgum,(Pint) 7.55 &nbsp;&nbsp;&nbsp; (Quart) 12.95
Shrimp Subgum,(Pint) 8.55 &nbsp;&nbsp;&nbsp; (Quart) 14.95
Fried Noodles,header
(Stir-Fried or Pan Fried),description
Chicken,14.55
Beef,14.95
Pork,14.55
Vegetable,14.55
Shrimp,16.55
Mixed Seafood,17.95
Singapore Fried Noodle🌶️,15.55
Beef w/ Long Rice Noodles,15.55
Mixed Meat,15.95
Luncheon Specials,header
(Monday - Saturday: 11 am to 3 pm) <br> Served w/ ham fried rice (1-21) and fortune cookie,description
1. Egg Foo Young w/ Egg Roll,8.95
2. Princess Chicken or Pork w/ Egg Roll🌶️,8.95
3. Szechuan Chicken w/ Egg Roll🌶️,8.95
4. Chicken or Pork Chop Suey w/ Egg Roll,8.95
5. Pepper Steak w/ Egg Roll,8.95
6. Almond Chicken w/ Egg Roll,8.95
7. Sweet & Sour Chicken w/ Egg Roll,8.95
8. Chicken or Beef Vegetable Deluxe w/ Egg Roll,8.95
9. Snow Peas w/ Chicken or Beef w/ Egg Roll,8.95
10. Sweet & Sour Shrimp or Chinese Fried Shrimp w/ Egg Roll,9.95
11. Hunan Chicken w/ Egg Roll🌶️,8.95
12. Lemon Chicken w/ Egg Roll,8.95
13. Beef w/ Mushroom and Onions w/ Egg Roll,8.95
14. Garlic Chicken or Beef w/ Egg Roll,8.95
15. Mongolian Chicken or Beef w/ Egg Roll,8.95
16. Broccoli Chicken or Beef w/ Egg Roll,8.95
17. Shrimp w/ Vegetable Deluxe w/ Egg Roll,9.95
18. Cashew Chicken or Beef w/ Egg Roll,8.95
19. General Tso's Chicken w/ Egg Roll🌶️,9.95
20. Sesame Chicken or Beef w/ Egg Roll,9.95
21. Orange Chicken or Beef w/ Egg Roll🌶️,9.95
Vegetable Fried Rice,7.95
"Ham, Chicken or Beef Fried Rice",7.95
Shrimp Fried Rice,8.95
Western Delights,header
"Served w/ choice of French fries or mashed potato, and salad",description
Grilled/Breaded Pork Chop,15.95
Chopped Sirloin Steak,15.95
Fried Filet Fish,16.95
Jumbo Fried Shrimp,16.95
American Luncheon Special,header
Served w/ bread & butter and a choice of French fries or mashed potatoes,description
Breaded Pork Chop,9.55
Breaded Veal Cutlet,9.55
Breaded Chicken,9.55
Chopped Sirloin Steak w/ onions,10.55
Fried Filet of Fish,10.55
Jumbo Fried Shrimp,10.55
Drinks & Dessert,header
,description
Hot (Oolong),1.50
Coffee or Iced Tea,1.80
Gravy,(Pint) 2.95 &nbsp;&nbsp;&nbsp; (Quart) 4.95
Fortune Cookie,0.25
French Fries,2.95
Mashed Potato,3.95
Plain Rice,(Pint) 1.95 &nbsp;&nbsp;&nbsp; (Quart) 3.95
